Open,High,Low,Close,Volume,WAP,Count,Minute,Tesla3,Tesla6,Tesla9,Decision,EXECUTE
1.04855,1.04855,1.04825,1.0483,11,1.04838,7,50,-0.000351,0.000255,-0.000333,NO,NO
1.04825,1.04825,1.048,1.04825,20,1.048195,14,55,-0.0005145,-0.000759,-0.001377,SELL,NO
1.04815,1.0482,1.0479,1.0479,12,1.048075,10,0,-0.000528,-0.001209,-0.0014355,SELL,NO
1.04815,1.0482,1.04815,1.04815,5,1.04816,4,5,-0.000537,-0.001527,-0.000918,NO,NO
1.04815,1.0482,1.04805,1.0481,14,1.04813,13,10,-0.0005085,-0.001494,-0.000171,NO,NO
1.0481,1.0481,1.0478,1.0478,8,1.047895,8,15,-0.0006195,-0.001398,-9.00E-05,NO,NO
1.0479,1.04795,1.04765,1.0477,19,1.047795,12,20,-0.0009345,-0.001617,-0.000603,NO,NO
1.04775,1.04785,1.04775,1.0478,5,1.04779,5,25,-0.0011715,-0.001428,-0.000801,NO,NO
1.0479,1.0479,1.0476,1.0477,6,1.04776,5,30,-0.001119,-0.000858,-0.000207,BUY,NO
1.04765,1.0478,1.0475,1.04755,79,1.04765,33,35,-0.001191,-0.001044,-0.000378,BUY,NO
1.0475,1.04765,1.0474,1.0476,48,1.047495,31,40,-0.0011955,-0.001176,-0.0006255,BUY,NO
1.04755,1.04765,1.0474,1.0474,44,1.047585,20,45,-0.001014,-0.001134,-0.0005445,NO,NO
1.04735,1.04745,1.04725,1.0473,140,1.04735,53,50,-0.000882,-0.001044,-0.000558,NO,NO
1.0473,1.04735,1.0469,1.04695,291,1.04702,154,55,-0.000978,-0.001164,-0.000702,NO,NO
1.04695,1.04705,1.04665,1.04705,168,1.046815,55,0,-0.001296,-0.001833,-0.001359,NO,NO
1.04695,1.04695,1.0469,1.0469,2,1.046925,2,5,-0.001335,-0.001899,-0.001116,NO,NO
1.0469,1.047,1.0468,1.0469,34,1.0469,16,10,-0.001188,-0.001704,-0.000414,NO,NO
1.0468,1.0468,1.04665,1.0467,9,1.04671,9,15,-0.001152,-0.001608,-0.000234,NO,NO
1.0468,1.04695,1.0468,1.0468,15,1.04684,6,20,-0.0011925,-0.001458,-0.000297,NO,NO
1.0465,1.04655,1.04645,1.04655,6,1.046525,3,25,-0.0012045,-0.001254,-0.0006255,NO,NO
1.0465,1.0465,1.0463,1.04635,9,1.046395,8,30,-0.001332,-0.001236,-0.0008325,BUY,NO
1.0465,1.0465,1.04645,1.04645,5,1.04646,3,35,-0.001287,-0.001122,-0.000612,BUY,NO
